name,variable,value
Megan Fairchild,Became a soloist,19.0
Gonzalo Garcia,Became a soloist,
Joseph Gordon,Became a soloist,24.0
Anthony Huxley,Became a soloist,23.0
Sterling Hyltin,Became a soloist,21.0
Russell Janzen,Became a soloist,24.0
Sara Mearns,Became a soloist,20.0
Tiler Peck,Became a soloist,17.0
Unity Phelan,Became a soloist,22.0
Amar Ramasar,Became a soloist,25.0
Teresa Reichlen,Became a soloist,21.0
Taylor Stanley,Became a soloist,22.0
Daniel Ulbricht,Became a soloist,22.0
Andrew Veyette,Became a soloist,24.0
Indiana Woodward,Became a soloist,23.0
Jared Angle,Became a principal,24.0
Tyler Angle,Became a principal,22.0
Ashley Bouder,Became a principal,22.0
Megan Fairchild,Became a principal,20.0
Gonzalo Garcia,Became a principal,27.0
Joseph Gordon,Became a principal,25.0
Anthony Huxley,Became a principal,27.0
Sterling Hyltin,Became a principal,22.0
Russell Janzen,Became a principal,27.0
Sara Mearns,Became a principal,22.0
Tiler Peck,Became a principal,20.0
Unity Phelan,Became a principal,26.0
Amar Ramasar,Became a principal,28.0
Teresa Reichlen,Became a principal,25.0
Taylor Stanley,Became a principal,25.0
Daniel Ulbricht,Became a principal,24.0
Andrew Veyette,Became a principal,25.0
Indiana Woodward,Became a principal,27.0
