name,milestone,age,label
Skylar Brandt,4,12,"Skylar Brandt began training full-time at ABT JKO at age 12, while the other three current principals who studied at the school only joined at 16 or 17 years old"
James Whiteside,2,25,James Whiteside started his career at Boston Ballet and was a principal there before joining ABT as a soloist
,6,18,"All but two of ABT's current principal dancers passed through the studio company, joining on average at 18 years old"
